itrial,d,method,coverage,width
40,5,naive,0.81,2.7406502116069764
40,5,jackknife,0.82,2.8262621318552625
40,5,jackknife+,0.82,2.861877330680946
40,5,jackknife-mm,0.82,2.944874338568385
40,5,CV+,0.82,2.9203297291294708
40,5,split,0.88,3.357551991466624
41,5,naive,0.84,3.1172279607682696
41,5,jackknife,0.86,3.2776773659855967
41,5,jackknife+,0.86,3.2917633952665115
41,5,jackknife-mm,0.88,3.4634463865525533
41,5,CV+,0.85,3.1796549199840745
41,5,split,0.9,3.537207669556478
42,5,naive,0.9,3.236231364589805
42,5,jackknife,0.92,3.5541433812615555
42,5,jackknife+,0.93,3.530569581533624
42,5,jackknife-mm,0.94,3.7100548233902826
42,5,CV+,0.91,3.50898739243239
42,5,split,0.92,3.6070779130811217
43,5,naive,0.78,2.7677132603388572
43,5,jackknife,0.83,3.0538445494552207
43,5,jackknife+,0.83,3.05595845627763
43,5,jackknife-mm,0.88,3.227872500880162
43,5,CV+,0.85,3.1982427406137357
43,5,split,0.78,2.7584455761351028
44,5,naive,0.87,2.9518334401689104
44,5,jackknife,0.89,3.0863327152094757
44,5,jackknife+,0.89,3.1408285011285044
44,5,jackknife-mm,0.9,3.258213551409544
44,5,CV+,0.94,3.3812752572860405
44,5,split,0.94,3.506156751155645
45,5,naive,0.92,3.4639041693628188
45,5,jackknife,0.93,3.5648360320246497
45,5,jackknife+,0.93,3.573591020840355
45,5,jackknife-mm,0.95,3.7074017587392216
45,5,CV+,0.92,3.5672890932101637
45,5,split,0.98,3.714772806679509
46,5,naive,0.86,3.0607141714660653
46,5,jackknife,0.88,3.199576168730083
46,5,jackknife+,0.86,3.1786564961666453
46,5,jackknife-mm,0.89,3.3429744032067545
46,5,CV+,0.86,3.149580735656292
46,5,split,0.9,3.756399557901547
47,5,naive,0.88,3.243824285756397
47,5,jackknife,0.91,3.5821778527457018
47,5,jackknife+,0.91,3.570044209265081
47,5,jackknife-mm,0.95,3.787032643670762
47,5,CV+,0.91,3.6272503602483455
47,5,split,0.9,3.6702735791313743
48,5,naive,0.88,3.2481385494594006
48,5,jackknife,0.88,3.3040698840858336
48,5,jackknife+,0.89,3.315780725352399
48,5,jackknife-mm,0.91,3.4483825156212786
48,5,CV+,0.88,3.2969978830032898
48,5,split,0.88,3.597035597444693
49,5,naive,0.96,3.64368432596501
49,5,jackknife,0.97,3.857327754176694
49,5,jackknife+,0.97,3.8692604155448356
49,5,jackknife-mm,0.97,4.048516479172867
49,5,CV+,0.97,3.872163058913108
49,5,split,0.97,4.098262482960876
0,10,naive,0.84,3.0581341212681536
0,10,jackknife,0.87,3.3020264400390693
0,10,jackknife+,0.89,3.3586384626373427
0,10,jackknife-mm,0.9,3.5353737255282334
0,10,CV+,0.89,3.4885966173233016
0,10,split,0.79,3.1348486768137467
1,10,naive,0.88,3.295415743193361
1,10,jackknife,0.92,3.452807476133557
1,10,jackknife+,0.92,3.4820709201696154
1,10,jackknife-mm,0.93,3.6777439022951866
1,10,CV+,0.92,3.533465478141594
1,10,split,0.92,3.61362003493877
2,10,naive,0.82,2.8578938807653658
2,10,jackknife,0.89,3.1832049523337456
2,10,jackknife+,0.88,3.2086137224002367
2,10,jackknife-mm,0.9,3.4134537083189826
2,10,CV+,0.89,3.2559794026334377
2,10,split,0.89,3.227065190315351
3,10,naive,0.92,3.753058580412242
3,10,jackknife,0.97,4.0805061715746715
3,10,jackknife+,0.98,4.065841605669696
3,10,jackknife-mm,0.99,4.371946921984765
3,10,CV+,0.98,4.074518198225608
3,10,split,0.93,3.8841402422009383
4,10,naive,0.84,3.055430226213042
4,10,jackknife,0.86,3.4753117185467826
4,10,jackknife+,0.86,3.483707161556796
4,10,jackknife-mm,0.89,3.7125668670516734
4,10,CV+,0.86,3.446670224363438
4,10,split,0.88,3.552666654139676
5,10,naive,0.85,3.0173775844834085
5,10,jackknife,0.88,3.3315142408061216
5,10,jackknife+,0.88,3.3695838899963273
5,10,jackknife-mm,0.9,3.5739022866271575
5,10,CV+,0.87,3.302932375023637
5,10,split,0.89,3.353709880407733
6,10,naive,0.85,3.0077340290479624
6,10,jackknife,0.9,3.407138409135747
6,10,jackknife+,0.9,3.4324783334370466
6,10,jackknife-mm,0.92,3.63230001838934
6,10,CV+,0.89,3.3642260843114484
6,10,split,0.91,3.669405512138057
7,10,naive,0.82,2.9846992176698333
7,10,jackknife,0.85,3.2745601328528773
7,10,jackknife+,0.85,3.2848198637015322
7,10,jackknife-mm,0.89,3.622082913756043
7,10,CV+,0.87,3.3650769964107017
7,10,split,0.86,3.8638274581589998
8,10,naive,0.91,3.0648770127464435
8,10,jackknife,0.95,3.480848111312526
8,10,jackknife+,0.94,3.515127192057597
8,10,jackknife-mm,0.96,3.7460151989894204
8,10,CV+,0.96,3.642374128942773
8,10,split,0.96,4.25797137905027
9,10,naive,0.94,3.6336843955945706
9,10,jackknife,0.97,4.051056398095492
9,10,jackknife+,0.96,4.036339604223284
9,10,jackknife-mm,0.98,4.332158975741607
9,10,CV+,0.97,4.04376121263758
9,10,split,0.93,3.929031628398888
10,10,naive,0.87,3.070248008156719
10,10,jackknife,0.89,3.392283258441409
10,10,jackknife+,0.89,3.4236578797988146
10,10,jackknife-mm,0.91,3.6216282540243587
10,10,CV+,0.88,3.357358283788309
10,10,split,0.9,3.3224443121552345
11,10,naive,0.9,3.2528596496878204
11,10,jackknife,0.93,3.4972750317479204
11,10,jackknife+,0.94,3.5270476421885166
11,10,jackknife-mm,0.95,3.7406134790609884
11,10,CV+,0.94,3.577252894589057
11,10,split,0.95,4.281859906178055
12,10,naive,0.94,3.47602739660403
12,10,jackknife,0.96,3.838841335785201
12,10,jackknife+,0.96,3.7896035996275277
12,10,jackknife-mm,0.96,4.065037201392419
12,10,CV+,0.94,3.6255803116010332
12,10,split,0.91,3.5156282790645723
13,10,naive,0.88,3.5535952869933563
13,10,jackknife,0.92,3.797260944330803
13,10,jackknife+,0.92,3.8429171098422183
13,10,jackknife-mm,0.94,4.053169995238115
13,10,CV+,0.92,4.001710588706141
13,10,split,0.9,3.6281798368408276
14,10,naive,0.9,3.162639296630624
14,10,jackknife,0.92,3.453644554741908
14,10,jackknife+,0.93,3.526278567566964
14,10,jackknife-mm,0.94,3.7346313906898443
14,10,CV+,0.94,3.5849630954214717
14,10,split,0.94,4.918556124658327
15,10,naive,0.85,3.2021172825013933
15,10,jackknife,0.9,3.5416330889124357
15,10,jackknife+,0.9,3.6103004684739433
15,10,jackknife-mm,0.93,3.9084565235044284
15,10,CV+,0.91,3.682438488480128
15,10,split,0.87,3.725421555351541
16,10,naive,0.97,3.616405285583534
16,10,jackknife,0.98,4.005791165105624
16,10,jackknife+,0.98,4.019862864167582
16,10,jackknife-mm,0.99,4.329828339983314
16,10,CV+,0.99,4.093528201518319
16,10,split,0.92,3.563088464574021
17,10,naive,0.91,3.2736832483359946
17,10,jackknife,0.91,3.492865563377486
17,10,jackknife+,0.91,3.481822829023802
17,10,jackknife-mm,0.92,3.7819554715113
17,10,CV+,0.92,3.5913024705964607
17,10,split,0.87,3.225159803466803
18,10,naive,0.81,2.9680579959353413
18,10,jackknife,0.88,3.326449871599761
18,10,jackknife+,0.89,3.321834436294281
18,10,jackknife-mm,0.91,3.581705205715454
18,10,CV+,0.89,3.3899762079744913
18,10,split,0.92,3.9662361996324726
